classe;bmp;nomenclatura;quantidade;data_inclusao;preco_unit;preco_total;estado_material;dano_sofrido;causa_dano;motivo_forca_maior;responsavel_dano;materia_prima_aproveitavel;outros_motivos
7025;1122249;Notebook 43205s P/N Ww239la Ac4 Marca Hp. (SISPAT: 2597002 - FCG: 2597 - Nº SÉRIE: BRG030F3TB);1;10/05/12;271.3;271.3;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:01/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;952300;Microcomputador Portatil Dell Vostro 1520 Com Teclado Interno Em Port Midia Com Drives Para Reinstalaçao Sist Operac Windows 7 Prof Com Midia 32 Bit Em Port Ms Office 2007 Small Business Em Port Inform Em Cd Rom (SISPAT: 65827001 - FCG: 65827 - Nº SÉRIE: Inform Em Cd Rom (SISPAT: 65827002 - FCG: 65827 - Nº SÉRIE: H62NBM1);1;20/04/12;334.08;334.08;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:02/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;1122621;Notebook Marca Hp, Modelo Hp Probook 4320s, Pn Le621l7 Ac4. (SISPAT: 2715013 - FCG: 2715 - NºSÉRIE: BRG112FB02);1;04/09/17;428;428;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:03/ATI/2025;Não há;08 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;2135895;Desktop Udp Daten Dc2c-T Intel Core I5 7500 Wi N 10 Pro. - Nº SÉRIE: 01020743010058;1;09/04/21;875.76;875.76;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:04/ATI/2025;Não há;04 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7095;1115936;Notebook 6530b P/N Vm864la Ac4, Marca Hp. (SISPAT: 2472005 - FCG: 2472 - Nº SÉRIE: BRG022F01M);1;10/05/12;428;428;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:06/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7095;1115934;Notebook 6530b P/N Vm864la Ac4, Marca Hp. (SISPAT: 2472003 - FCG: 2472 - Nº SÉRIE: BRG95F06Z);1;10/05/12;429;429;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:07/ATI/2024;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;952301;Microcomputador Portatil Dell Vostro 1520 Com Teclado Interno Em Port Midia Com Drives Para Reinstalaçao Sist Operac Windows 7 Prof Com Midia 32 Bit Em Port Ms Office 2007 Small Business Em Port Inform Em Cd Rom (SISPAT: 65827003 - FCG: 65827 - Nº SÉRIE: J62NBM1);1;20/04/12;334.08;334.08;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:08/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;952299;Microcomputador Portatil Dell Vostro 1520 Com Teclado Interno Em Port Midia Com Drives Para Reinstalaçao Sist Operac Windows 7 Prof Com Midia 32 Bit Em Port Ms Office 2007 Small Business Em Port Inform Em Cd Rom (SISPAT: 65827001 - FCG: 65827 - Nº SÉRIE: G62NBM1);1;20/04/12;334.08;334.08;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:09/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7095;1115932;Notebook 6530b P/N Vm864la Ac4, Marca Hp. (SISPAT: 2472001 - FCG: 2472 - Nº SÉRIE: BRG938FL4S);1;10/05/12;429;429;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:10/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;1122623;Notebook Marca Hp, Modelo Hp Probook 4320s, Pn Le621l7 Ac4. (SISPAT: 2715015 - FCG: 2715 - Nº SÉRIE: BRG112FB0Y);1;10/05/12;428;428;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:11/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;952297;Microcomputador Portatil Dell Vostro 1320 Com Teclado Interno Em Port Midia Com Drives Para Reinstalaçao Sist Operac Windows 7 Prof Com Midia 32 Bit Em Port Ms Office 2007 Small Business Em Port Inform Em Cd Rom (SISPAT: 65825001 - FCG: 65827 - Nº SÉRIE: B4ZGBM1);1;20/04/12;335.79;335.79;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:12/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7035;1180942;Notebook Sony Vaio Vgn-Cr590 (SISPAT: 1307005 - FCG: 1307 - Nº SÉRIE: 3119442);1;30/05/12;355.12;355.12;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:13/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;1115935;Notebook 6530b P/N Vm864la Ac4, Marca Hp. (SISPAT: 2472004 - FCG: 2472 - Nº SÉRIE: BRGO22F023);1;10/05/12;428;428;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:14/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;953128;Hub Marca Encore, 8 Portas. (SISPAT: 65633001 - FCG: 65633);1;20/04/12;5.99;5.99;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:15/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7010;1833601;Microcomputador Intel Itautec Model: Infoway St4261, Teclado Ps2 Pp Abnt2 E Mouse Óptico. - Nº SÉRIE: L385001200132;1;10/05/12;13.64;13.64;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:16/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7195;1129262;Porta Cpu, Com 04 Abas Laterais Para Estabilidade Da Cpu. (SISPAT: 1636019 - FCG: 1636);1;10/05/12;10.74;10.74;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:19/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7035;1117051;Monitor Lcd Tft 19 Marca Samsung, Modelo 932b Plus. (SISPAT: 1866084 - FCG: 1866 - Nº SÉRIE: PE19HXGP500006B);1;10/05/12;36.9;36.9;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:21/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;953645;No Break Sms 0,6 Kv Bivolt Marca Sms Manager Iii . (SISPAT: 40225003 - FCG: 40225);1;20/04/12;53.97;53.97;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:22/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
6110;951068;No Break Sms Net Station Bivolt 1200va (SISPAT: 65643001 - FCG: 65643);1;20/04/12;41.2;41.2;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:23/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
